object			
volume	37019	Capuron	1806
entry	Sous-pubio-fémoral	0	
orth	Sous-pubio-fémoral		
entry	Sus-maxillaire	0	
orth	Sus-maxillaire		
entry	Trachéliens	0	
orth	Trachéliens		
entry	Trachélo-diaphragmatique	0	
orth	Trachélo-diaphragmatique		
entry	Trachélo-dorsal	0	
orth	Trachélo-dorsal		
entry	Trachélo-sous-cutanes	0	
orth	Trachélo-sous-cutanes		
entry	Trifacial	0	
orth	Trifacial		
entry	Trisplanchnique	0	
orth	Trisplanchnique		
entry	Appérceptibilité	0	
orth	Appérceptibilité		
entry	Caloricité	0	
orth	Caloricité		
entry	Force vitale	0	
orth	Force vitale		
foreign	φνσις	grc	
foreign	βνορμον	grc	
foreign	impetum faciens	lat	
entry	Motilité	0	
orth	Motilité		
entry	Myotilité	0	
orth	Myotilité		
entry	Organismé	0	
orth	Organismé		
entry	Sensibilité	0	
orth	Sensibilité		
entry	Tonicité	0	
orth	Tonicité		
entry	Vibratilité	0	
orth	Vibratilité		
pb	447		
entry	Acide aérien	0	
orth	Acide aérien		
entry	Acidecharbonneux	0	
orth	Acidecharbonneux		
entry	Acide crayeux	0	
orth	Acide crayeux		
entry	Acide des pommes	0	
orth	Acide des pommes		
entry	Acide du soufre	0	
orth	Acide du soufre		
entry	Acide du sel	0	
orth	Acide du sel		
entry	Acide du sucre	0	
orth	Acide du sucre		
entry	Acide du tartre	0	
orth	Acide du tartre		
entry	Acide du vinaigre	0	
orth	Acide du vinaigre		
entry	Acide marin	0	
orth	Acide marin		
entry	Acide marin aére, acide rnarin déphlogistiqué	0	
orth	Acide marin aére		
orth	acide rnarin déphlogistiqué		
entry	Acide méphitiqtfe	0	
orth	Acide méphitiqtfe		
entry	Acide nitreux blanc, acide nitreux dégazé, acide nitreux déphlogistiqué	0	
orth	Acide nitreux blanc		
orth	acide nitreux dégazé		
orth	acide nitreux déphlogistiqué		
entry	Acide nitreux fumant, acide nitreux phlogistiqué, acide nitreux rutilant	0	
orth	Acide nitreux fumant		
orth	acide nitreux phlogistiqué		
orth	acide nitreux rutilant		
entry	Acide oxalin	0	
orth	Acide oxalin		
entry	Acide régalin	0	
orth	Acide régalin		
entry	Acide ûucçharin	0	
orth	Acide ûucçharin		
entry	Acide sscehlactique	0	
orth	Acide sscehlactique		
entry	Acide sédatif	0	
orth	Acide sédatif		
entry	Acide sulfureux volatil	0	
orth	Acide sulfureux volatil		
entry	Acide vitriolique	0	
orth	Acide vitriolique		
entry	Acide vitriolique phlogistiqué	0	
orth	Acide vitriolique phlogistiqué		
entry	Air alcalin	0	
orth	Air alcalin		
entry	Air déphlogistiqué, air clu feti deSchéèle	0	
orth	Air déphlogistiqué		
orth	air clu feti deSchéèle		
entry	Air factice	0	
orth	Air factice		
entry	Air fixe, fixe	0	
orth	Air fixe		
orth	fixe		
entry	Air inrlamtnable des marais	0	
orth	Air inrlamtnable des marais		
entry	Air mann	0	
orth	Air mann		
entry	Air pur	0	
orth	Air pur		
entry	Air vital	0	
orth	Air vital		
entry	Alcali caustique	0	
orth	Alcali caustique		
entry	Alcali effervescent	0	
orth	Alcali effervescent		
entry	Alcali fixe du tartre non caustiqne	0	
orth	Alcali fixe du tartre non caustiqne		
entry	Alcali fixedu tartrecaustique	0	
orth	Alcali fixedu tartrecaustique		
entry	Alcali marin-çaii-stiqne	0	
orth	Alcali marin-çaii-stiqne		
entry	Alcali fixe niinéral effervescent	0	
orth	Alcali fixe niinéral effervescent		
entry	Alcali miuéral aéré	0	
