object			
volume	27898	Littré-Gilbert (21e éd.)	1908
entry	Adecte	0	
orth	Adecte		
foreign	άδηκτος	grc	
entry	Adélide	0	
orth	Adélide		
entry	Adéliparie	0	
orth	Adéliparie		
entry	Adémonie	0	
orth	Adémonie		
entry	Adénalgie	0	
orth	Adénalgie		
entry	Adénectopie	0	
orth	Adénectopie		
entry	Adénemphraxie	0	
orth	Adénemphraxie		
term	obstructio glandularum		
entry	Adénie	1	
orth	Adénie		
pb	24	0034	
entry	Adénisation	0	
orth	Adénisation		
entry	Adénite	0	
orth	Adénite		
term	Adénite cervicale syphilitique		
term	Adénite meibomienne		
entry	Adénocancer	0	
orth	Adénocancer		
entry	Adénodiastase	0	
orth	Adénodiastase		
entry	Adénofibrome	0	
orth	Adénofibrome		
entry	Adénographie	0	
orth	Adénographie		
entry	Adénoïde	1	
orth	Adénoïde		
term	Corpora seu plasmata adenoida		
term	Corps adénoïde		
term	Tissu adénoïde		
term	tissu réticulé		
term	Végétations ou tumeurs adénoïdes		
pb	25	0035	
entry	Adénoïdien	0	
orth	Adénoïdien		
term	Facies adéndidien		
clique	Facies adéndidien | Végétations | Adénoïdes		
entry	Adénoidite	0	
orth	Adénoidite		
entry	Adénolipomatose symétrique diffuse	0	
orth	Adénolipomatose symétrique diffuse		
clique	Lipomatose symétrique diffuse		
entry	Adénologadite	0	
orth	Adénologadite		
entry	Adénologie	0	
orth	Adénologie		
entry	Adénolymphatocèle, Adénolymphocèle	0	
orth	Adénolymphatocèle		
orth	Adénolymphocèle		
entry	Adénomalacie	0	
orth	Adénomalacie		
entry	Adénome	0	
orth	Adénome		
entry	Adénoméningé	0	
orth	Adénoméningé		
clique	Fièvre adénoméningée | Fièvre		
entry	Adénomyxome	0	
orth	Adénomyxome		
entry	Adénoncose	0	
orth	Adénoncose		
entry	Adénonerveux	0	
orth	Adénonerveux		
clique	Fièvre adénonerveuse | Fièvre		
entry	Adénopathie	0	
orth	Adénopathie		
entry	Adénopharyngien	0	
orth	Adénopharyngien		
term	Muscle adénopkaryngien		
clique	Muscle adénopkaryngien		
entry	Adénopharyngite	0	
orth	Adénopharyngite		
entry	Adénophlegmon	0	
orth	Adénophlegmon		
entry	Adénophtalmie	0	
orth	Adénophtalmie		
entry	Adénosarcome	0	
